CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Point Earned,Card_Type_Encoded,Geography_France,Geography_Germany,Geography_Spain,Engagement,Balance_to_Salary,Tenure_per_Age,High_Balance,Low_Balance,Risk_Score,Age_Balance,Tenure_Balance,CustomerCluster
635,0,35,7,0.0,2,1,1,65951.65,0,0,2,318,2,False,False,True,2,0.0,0.19444444444444445,0,0,0.0,0.0,0.0,4
616,1,45,3,143129.41,2,0,1,64327.26,0,0,5,308,2,False,True,False,2,2.224984944408569,0.06521739130434782,1,0,0.0,6440823.45,429388.23,3
653,1,58,1,132602.88,1,1,0,5097.67,1,0,2,163,1,False,True,False,0,26.00734701402523,0.01694915254237288,1,0,0.0,7690967.04,132602.88,3
549,0,24,9,0.0,2,1,1,14406.41,0,0,3,544,1,False,False,True,2,0.0,0.36,0,0,0.0,0.0,0.0,2
587,1,45,6,0.0,1,0,0,158684.81,0,0,3,732,3,False,False,True,0,0.0,0.13043478260869565,0,0,0.0,0.0,0.0,4
726,0,24,6,0.0,2,1,1,54724.03,0,0,4,477,2,True,False,False,2,0.0,0.24,0,0,0.0,0.0,0.0,3
732,1,41,8,0.0,2,1,1,170886.17,0,0,3,568,3,True,False,False,2,0.0,0.19047619047619047,0,0,0.0,0.0,0.0,4
636,0,32,8,0.0,2,1,0,138555.46,0,0,2,336,4,False,False,True,0,0.0,0.24242424242424243,0,0,0.0,0.0,0.0,4
510,0,38,4,0.0,1,1,0,118913.53,1,1,2,887,4,False,False,True,0,0.0,0.10256410256410256,0,0,0.98,0.0,0.0,4
669,1,46,3,0.0,2,0,1,8487.75,0,0,2,665,1,True,False,False,2,0.0,0.06382978723404255,0,0,0.0,0.0,0.0,2
846,0,38,5,0.0,1,1,1,187616.16,0,0,3,225,3,True,False,False,1,0.0,0.1282051282051282,0,0,0.0,0.0,0.0,4
577,1,25,3,0.0,2,0,1,124508.29,0,0,3,659,3,True,False,False,2,0.0,0.11538461538461539,0,0,0.0,0.0,0.0,4
756,1,36,2,136815.64,1,1,1,170041.95,0,0,5,236,4,False,True,False,1,0.8045946038927224,0.05405405405405406,1,0,0.0,4925363.040000001,273631.28,3
571,1,44,9,0.0,2,0,0,38433.35,0,0,4,448,3,True,False,False,0,0.0,0.2,0,0,0.0,0.0,0.0,3
574,0,43,3,141349.43,1,1,1,100187.43,0,0,5,499,4,False,True,False,1,1.4108358619852612,0.06818181818181818,1,0,0.0,6078025.489999999,424048.29,3
411,1,29,0,59697.17,2,1,1,53483.21,0,0,2,343,2,True,False,False,2,1.116164378234249,0.0,0,0,0.0,1731217.93,0.0,3
591,0,39,3,0.0,3,1,0,140469.38,1,1,3,298,4,False,False,True,0,0.0,0.075,0,0,0.97,0.0,0.0,4
533,1,36,7,85311.7,1,0,1,156731.91,0,0,5,628,1,True,False,False,1,0.5443126143705237,0.1891891891891892,0,0,0.0,3071221.1999999997,597181.9,1
553,1,41,9,110112.54,2,0,0,81898.81,0,0,3,611,2,False,True,False,0,1.3444785769344276,0.21428571428571427,1,0,0.0,4514614.14,991012.86,3
520,0,42,6,0.0,2,1,1,34410.55,0,0,2,922,1,False,False,True,2,0.0,0.13953488372093023,0,0,0.0,0.0,0.0,2
722,0,29,9,0.0,2,1,1,142033.07,0,0,5,276,3,False,False,True,2,0.0,0.3,0,0,0.0,0.0,0.0,4
475,0,45,0,134264.04,1,1,0,27822.99,1,1,1,877,4,True,False,False,0,4.825477582474692,0.0,1,0,0.99,6041881.800000001,0.0,2
490,1,31,3,145260.23,1,0,1,114066.77,0,0,4,471,1,False,False,True,1,1.2734555080720873,0.09375,1,0,0.0,4503067.13,435780.69000000006,3
804,1,33,7,76548.6,1,0,1,98453.45,0,0,2,994,2,False,False,True,1,0.7775026928696469,0.20588235294117646,0,0,0.0,2526103.8000000003,535840.2000000001,2
850,1,36,7,0.0,1,1,1,40812.9,0,0,3,944,2,True,False,False,1,0.0,0.1891891891891892,0,0,0.0,0.0,0.0,2
582,1,41,6,70349.48,2,0,1,178074.04,0,0,5,419,2,False,True,False,2,0.3950552531112726,0.14285714285714285,0,0,0.0,2884328.6799999997,422096.88,4
472,1,40,4,0.0,1,1,0,70154.22,0,0,4,545,4,False,False,True,0,0.0,0.0975609756097561,0,0,0.0,0.0,0.0,4
465,0,51,8,122522.32,1,0,0,181297.65,1,1,5,828,1,True,False,False,0,0.6758038187267252,0.15384615384615385,1,0,0.95,6248638.32,980178.56,1
556,0,61,2,117419.35,1,1,1,94153.83,0,0,3,789,3,True,False,False,1,1.2470879082889321,0.03225806451612903,1,0,0.0,7162580.350000001,234838.7,1
834,0,49,2,131394.56,1,0,0,194365.76,1,1,2,567,2,True,False,False,0,0.6760135323550178,0.04,1,0,0.98,6438333.4399999995,262789.12,0
660,0,61,5,155931.11,1,1,1,158338.39,0,0,1,884,3,False,False,True,1,0.9847903923338341,0.08064516129032258,1,0,0.0,9511797.709999999,779655.5499999999,0
776,0,32,4,109421.13,2,1,1,126517.46,0,0,1,296,1,False,True,False,2,0.8648629614998475,0.12121212121212122,1,0,0.0,3501476.16,437684.52,0
829,0,27,9,112045.67,1,1,1,119708.21,1,1,3,779,4,False,True,False,1,0.9359820351333034,0.32142857142857145,1,0,0.97,3025233.09,1008411.03,1
637,0,39,9,137843.8,1,1,1,117622.8,1,1,1,730,1,False,True,False,1,1.171903985417917,0.225,1,0,0.99,5375908.199999999,1240594.2,0
550,1,38,2,103391.38,1,0,1,90878.13,0,0,3,960,4,False,True,False,1,1.137680125238875,0.05128205128205128,1,0,0.0,3928872.4400000004,206782.76,1
776,0,37,2,103769.22,2,1,0,194099.12,0,0,1,268,1,False,True,False,0,0.5346169801440618,0.05263157894736842,1,0,0.0,3839461.14,207538.44,0
698,1,44,10,116363.37,2,1,0,198059.16,0,0,4,829,1,False,True,False,0,0.5875152781861834,0.2222222222222222,1,0,0.0,5119988.279999999,1163633.7,1
585,1,36,5,146050.97,2,0,0,86424.57,0,0,3,665,1,False,True,False,0,1.6899046196629075,0.13513513513513514,1,0,0.0,5257834.92,730254.85,1
788,0,33,5,0.0,2,0,0,116978.19,0,0,3,982,2,True,False,False,0,0.0,0.14705882352941177,0,0,0.0,0.0,0.0,2
655,1,41,8,125561.97,1,0,0,164040.94,1,1,3,343,1,False,True,False,0,0.76542602458859,0.19047619047619047,1,0,0.97,5148040.7700000005,1004495.76,0
601,1,42,1,98495.72,1,1,0,40014.76,1,1,2,225,4,False,True,False,0,2.4614231992594915,0.023255813953488372,1,0,0.98,4136820.24,98495.72,3
619,1,43,1,125211.92,1,1,1,113410.49,0,0,5,657,1,True,False,False,1,1.1040496866763676,0.022727272727272728,1,0,0.0,5384112.56,125211.92,1
656,1,45,5,127864.4,1,1,0,87107.57,0,0,2,221,3,True,False,False,0,1.4678739416799058,0.10869565217391304,1,0,0.0,5753898.0,639322.0,0
725,1,19,0,75888.2,1,0,0,45613.75,0,0,2,406,3,False,True,False,0,1.6636767712198357,0.0,0,0,0.0,1441875.8,0.0,2
511,0,66,4,0.0,1,1,0,1643.11,1,1,5,549,1,False,False,True,0,0.0,0.05970149253731343,0,0,0.95,0.0,0.0,3
614,1,51,4,40685.92,1,1,1,46775.28,0,0,4,954,3,True,False,False,1,0.8697981113504537,0.07692307692307693,0,0,0.0,2074981.92,162743.68,2
742,1,35,5,136857.0,1,0,0,84509.57,0,0,4,823,2,False,True,False,0,1.6194068978590488,0.1388888888888889,1,0,0.0,4789995.0,684285.0,1
687,0,27,9,152328.88,2,0,0,126494.82,0,0,5,769,4,False,True,False,0,1.2042206612044573,0.32142857142857145,1,0,0.0,4112879.7600000002,1370959.92,1
555,1,33,1,56084.69,2,0,0,178798.13,0,0,5,481,3,False,False,True,0,0.3136742891310489,0.029411764705882353,0,0,0.0,1850794.77,56084.69,4
684,1,56,8,78707.16,1,1,1,99398.36,0,0,4,903,1,False,False,True,1,0.7918276334978415,0.14035087719298245,0,0,0.0,4407600.96,629657.28,1
603,1,26,4,109166.37,1,1,1,92840.67,0,0,3,882,3,False,True,False,1,1.1758337608532892,0.14814814814814814,1,0,0.0,2838325.62,436665.48,1
751,0,36,6,169831.46,2,1,1,27758.36,0,1,5,379,2,False,True,False,2,6.117989031447411,0.16216216216216217,1,0,0.95,6113932.56,1018988.76,3
581,0,34,1,101633.04,1,1,0,110431.51,0,1,3,469,3,False,True,False,0,0.9203181200898177,0.02857142857142857,1,0,0.97,3455523.36,101633.04,0
735,1,43,10,123180.01,2,1,1,196673.28,0,1,3,683,3,False,True,False,2,0.6263147880851527,0.22727272727272727,1,0,0.97,5296740.43,1231800.0999999999,0
661,0,35,5,150725.53,2,0,1,113656.85,0,1,1,770,2,False,True,False,2,1.3261339185986714,0.1388888888888889,1,0,0.99,5275393.55,753627.65,0
675,0,21,8,98373.26,1,1,0,18203.0,0,0,5,985,1,True,False,False,0,5.403936497473082,0.36363636363636365,1,0,0.0,2065838.46,786986.08,1
738,1,58,2,133745.44,4,1,0,28373.86,1,1,4,725,2,False,True,False,0,4.713518938948069,0.03389830508474576,1,0,0.96,7757235.5200000005,267490.88,1
813,1,29,6,0.0,1,1,0,33953.87,0,0,3,259,3,True,False,False,0,0.0,0.2,0,0,0.0,0.0,0.0,3
657,0,37,0,163607.18,1,0,1,44203.55,0,0,2,979,2,False,False,True,1,3.701138909908595,0.0,1,0,0.0,6053465.66,0.0,2
604,0,25,5,157780.84,2,1,1,58426.81,0,0,2,988,1,False,True,False,2,2.7004407661351677,0.19230769230769232,1,0,0.0,3944521.0,788904.2,1
519,1,36,9,0.0,2,0,1,145562.4,0,0,2,833,3,True,False,False,2,0.0,0.24324324324324326,0,0,0.0,0.0,0.0,4
735,0,21,1,178718.19,2,1,0,22388.0,0,0,1,527,3,True,False,False,0,7.982410558756532,0.045454545454545456,1,0,0.0,3753081.99,178718.19,0
664,1,55,8,0.0,2,1,1,139161.64,0,0,5,220,1,True,False,False,2,0.0,0.14285714285714285,0,0,0.0,0.0,0.0,4
678,0,32,9,0.0,1,1,1,148210.64,0,0,4,983,2,True,False,False,1,0.0,0.2727272727272727,0,0,0.0,0.0,0.0,4
757,1,33,5,77253.22,1,0,1,194239.63,0,0,3,582,1,False,False,True,1,0.39771915896277726,0.14705882352941177,0,0,0.0,2549356.2600000002,386266.1,4
416,0,41,10,122189.66,2,1,0,98301.61,0,0,3,281,1,False,True,False,0,1.2429950740880633,0.23809523809523808,1,0,0.0,5009776.0600000005,1221896.6,3
665,0,34,1,96645.54,2,0,0,171413.66,0,0,3,798,4,True,False,False,0,0.5638114032953774,0.02857142857142857,0,0,0.0,3285948.36,96645.54,1
777,0,32,2,0.0,1,1,0,136458.19,1,1,5,917,1,True,False,False,0,0.0,0.06060606060606061,0,0,0.95,0.0,0.0,4
543,0,36,3,0.0,2,0,0,26019.59,0,0,2,255,4,True,False,False,0,0.0,0.08108108108108109,0,0,0.0,0.0,0.0,3
506,0,34,4,90307.62,1,1,1,159235.29,0,0,4,511,1,True,False,False,1,0.567129641113844,0.11428571428571428,0,0,0.0,3070459.08,361230.48,1
493,0,46,4,0.0,2,1,0,1907.66,0,0,1,498,1,True,False,False,0,0.0,0.0851063829787234,0,0,0.0,0.0,0.0,2
652,0,75,10,0.0,2,1,1,114675.75,0,0,5,651,4,False,False,True,2,0.0,0.13157894736842105,0,0,0.0,0.0,0.0,4
750,1,22,3,121681.82,1,1,0,128643.35,1,1,2,852,1,False,False,True,0,0.9458776852617313,0.13043478260869565,1,0,0.98,2677000.04,365045.46,0
729,1,30,9,0.0,2,1,0,151869.35,0,0,1,807,4,True,False,False,0,0.0,0.2903225806451613,0,0,0.0,0.0,0.0,4
646,0,46,4,0.0,3,1,0,93251.42,1,1,3,470,3,True,False,False,0,0.0,0.0851063829787234,0,0,0.97,0.0,0.0,4
635,0,28,3,81623.67,2,1,1,156791.36,0,0,1,659,4,False,True,False,2,0.520584485111392,0.10344827586206896,0,0,0.0,2285462.76,244871.01,0
647,0,44,5,0.0,3,1,1,174205.22,1,1,3,752,4,False,False,True,3,0.0,0.1111111111111111,0,0,0.97,0.0,0.0,4
808,1,45,7,118626.55,2,1,0,147132.46,0,0,1,559,1,True,False,False,0,0.8062513448674422,0.15217391304347827,1,0,0.0,5338194.75,830385.85,0
524,0,36,10,0.0,2,1,0,109614.57,0,0,2,375,2,True,False,False,0,0.0,0.2702702702702703,0,0,0.0,0.0,0.0,4
769,1,29,8,0.0,2,1,1,172290.61,0,0,2,411,4,True,False,False,2,0.0,0.26666666666666666,0,0,0.0,0.0,0.0,4
730,1,42,4,0.0,2,0,1,85982.47,0,0,4,722,4,False,False,True,2,0.0,0.09302325581395349,0,0,0.0,0.0,0.0,4
515,1,35,10,176273.95,1,0,1,121277.78,0,0,1,231,2,False,False,True,1,1.45346077854675,0.2777777777777778,1,0,0.0,6169588.25,1762739.5,0
773,1,41,9,102827.44,1,0,1,64595.25,0,0,5,488,4,False,False,True,1,1.591848443214583,0.21428571428571427,1,0,0.0,4215925.04,925446.96,3
814,1,29,8,97086.4,2,1,1,197276.13,0,0,2,965,2,False,True,False,2,0.49213205808498933,0.26666666666666666,0,0,0.0,2815505.5999999996,776691.2,1
710,1,22,8,0.0,2,0,0,99645.04,0,0,4,289,1,False,False,True,0,0.0,0.34782608695652173,0,0,0.0,0.0,0.0,4
413,1,34,9,0.0,2,0,0,6534.18,0,0,1,449,3,True,False,False,0,0.0,0.2571428571428571,0,0,0.0,0.0,0.0,2
665,0,40,6,0.0,1,1,1,161848.03,0,0,2,651,1,True,False,False,1,0.0,0.14634146341463414,0,0,0.0,0.0,0.0,4
623,0,44,6,0.0,2,0,0,167162.43,0,0,2,520,4,True,False,False,0,0.0,0.13333333333333333,0,0,0.0,0.0,0.0,4
738,1,31,9,82674.15,1,1,0,41970.72,0,0,4,234,4,True,False,False,0,1.9697584468780405,0.28125,0,0,0.0,2562898.65,744067.35,3
528,1,36,7,0.0,2,1,0,60536.56,0,0,5,458,1,False,False,True,0,0.0,0.1891891891891892,0,0,0.0,0.0,0.0,3
670,0,65,1,0.0,1,1,1,177655.68,1,1,2,915,2,False,False,True,1,0.0,0.015151515151515152,0,0,0.98,0.0,0.0,4
622,0,46,4,107073.27,2,1,1,30984.59,1,1,3,299,2,False,False,True,2,3.455582740235058,0.0851063829787234,1,0,0.97,4925370.42,428293.08,3
582,1,32,1,88938.62,1,1,1,10054.53,0,0,4,838,2,False,True,False,1,8.844747119246822,0.030303030303030304,0,0,0.0,2846035.84,88938.62,2
785,0,36,2,99806.85,1,0,1,36976.52,0,0,5,786,3,False,True,False,1,2.6991223316220236,0.05405405405405406,1,0,0.0,3593046.6,199613.7,1
605,1,33,5,150092.8,1,0,0,71862.79,0,0,3,509,4,False,False,True,0,2.0885733969778104,0.14705882352941177,1,0,0.0,4953062.399999999,750464.0,3
479,1,35,9,92833.89,1,1,0,99449.86,1,1,3,328,4,False,True,False,0,0.9334649293128284,0.25,0,0,0.97,3249186.15,835505.01,3
685,1,30,3,90536.81,1,0,1,63082.88,0,0,4,347,1,False,True,False,1,1.4351813807267404,0.0967741935483871,0,0,0.0,2716104.3,271610.43,3
538,1,39,7,108055.1,2,1,0,27231.26,0,0,5,534,1,False,True,False,0,3.9679079150977556,0.175,1,0,0.0,4214148.9,756385.7000000001,3
562,1,42,2,100238.35,1,0,0,86797.41,0,0,5,709,3,True,False,False,0,1.1548408548036768,0.046511627906976744,1,0,0.0,4210010.7,200476.7,1
675,1,36,9,106190.55,1,0,1,22994.32,0,0,4,749,1,False,False,True,1,4.617920081129552,0.24324324324324326,1,0,0.0,3822859.8000000003,955714.9500000001,2
721,1,28,9,154475.54,2,0,1,101300.94,1,1,5,541,3,False,True,False,2,1.524902089732931,0.3103448275862069,1,0,0.95,4325315.12,1390279.86,1
628,0,30,9,132351.29,2,1,1,74169.13,0,0,2,736,2,False,True,False,2,1.7844284484872819,0.2903225806451613,1,0,0.0,3970538.7,1191161.61,0
668,0,37,6,167864.4,1,1,0,115638.29,0,0,4,529,1,False,True,False,0,1.4516208115771032,0.15789473684210525,1,0,0.0,6210982.8,1007186.3999999999,1
506,0,41,1,0.0,2,1,0,31766.3,0,0,4,594,2,True,False,False,0,0.0,0.023809523809523808,0,0,0.0,0.0,0.0,3
524,0,31,8,107818.63,1,1,0,199725.39,1,1,1,462,1,False,True,False,0,0.5398316667116448,0.25,1,0,0.99,3342377.5300000003,862549.04,0
699,1,34,4,185173.81,2,1,0,120834.48,0,0,3,429,3,False,True,False,0,1.5324456856545776,0.11428571428571428,1,0,0.0,6295909.54,740695.24,0
828,1,34,8,129433.34,2,0,0,38131.77,0,0,4,370,1,True,False,False,0,3.3942810868447273,0.22857142857142856,1,0,0.0,4400733.56,1035466.72,3
674,1,39,6,120193.42,1,0,0,100130.95,0,0,1,510,3,False,False,True,0,1.200350337729366,0.15,1,0,0.0,4687543.38,721160.52,0
656,0,39,6,0.0,2,1,0,141069.88,0,0,4,638,4,True,False,False,0,0.0,0.15,0,0,0.0,0.0,0.0,4
684,0,48,10,126384.42,1,1,1,198129.36,0,0,1,462,2,False,True,False,1,0.6378851782230649,0.20408163265306123,1,0,0.0,6066452.16,1263844.2,0
625,0,28,3,0.0,1,0,0,183646.41,0,0,4,718,2,True,False,False,0,0.0,0.10344827586206896,0,0,0.0,0.0,0.0,4
432,1,42,9,152603.45,1,1,0,110265.24,1,1,3,437,4,True,False,False,0,1.3839544179614722,0.20930232558139536,1,0,0.97,6409344.9,1373431.05,0
549,0,52,1,0.0,1,0,1,8636.05,1,1,4,485,4,True,False,False,1,0.0,0.018867924528301886,0,0,0.96,0.0,0.0,3
625,1,56,0,148507.24,1,1,0,46824.08,1,1,3,410,3,False,True,False,0,3.171532008060637,0.0,1,0,0.97,8316405.4399999995,0.0,3
828,0,41,7,0.0,2,1,0,171378.77,0,0,2,666,3,True,False,False,0,0.0,0.16666666666666666,0,0,0.0,0.0,0.0,4
770,1,24,9,101827.07,1,1,0,167256.35,0,0,4,730,2,True,False,False,0,0.608804755067565,0.36,1,0,0.0,2443849.68,916443.6300000001,1
758,0,34,3,0.0,2,1,1,124226.16,0,0,2,375,3,True,False,False,2,0.0,0.08571428571428572,0,0,0.0,0.0,0.0,4
795,0,33,9,130862.43,1,1,1,114935.21,0,0,5,411,2,False,True,False,1,1.1385657313739508,0.2647058823529412,1,0,0.0,4318460.1899999995,1177761.8699999999,3
687,1,38,9,122570.87,1,1,1,35608.88,0,0,4,595,4,True,False,False,1,3.4420467016457232,0.23076923076923078,1,0,0.0,4657693.06,1103137.83,3
686,1,25,1,0.0,2,0,1,16459.37,0,0,1,578,4,True,False,False,2,0.0,0.038461538461538464,0,0,0.0,0.0,0.0,2
789,1,39,7,124828.46,2,1,1,124411.08,0,0,2,377,3,False,True,False,2,1.0033467811164318,0.175,1,0,0.0,4868309.94,873799.2200000001,0
589,0,50,5,144895.05,2,1,1,34941.23,0,0,2,831,2,False,True,False,2,4.146703000924669,0.09803921568627451,1,0,0.0,7244752.499999999,724475.25,2
461,0,34,5,63663.93,1,0,1,167784.28,0,0,1,497,1,False,True,False,1,0.3794369208073557,0.14285714285714285,0,0,0.0,2164573.62,318319.65,0
637,1,40,2,133463.1,1,0,1,93165.34,0,0,1,374,3,True,False,False,1,1.432524879693675,0.04878048780487805,1,0,0.0,5338524.0,266926.2,0
584,0,48,2,213146.2,1,1,0,75161.25,1,0,4,814,4,False,False,True,0,2.8358145212523573,0.04081632653061224,1,0,0.0,10231017.600000001,426292.4,1
579,0,35,1,129490.36,2,0,1,8590.83,1,1,4,247,2,False,False,True,2,15.071336374206659,0.027777777777777776,1,0,0.96,4532162.6,129490.36,3
756,1,44,10,137452.09,1,1,0,189543.9,0,0,5,965,3,False,True,False,0,0.7251690232762791,0.2222222222222222,1,0,0.0,6047891.96,1374520.9,1
663,1,34,7,0.0,2,1,1,180427.24,0,0,3,912,1,True,False,False,2,0.0,0.2,0,0,0.0,0.0,0.0,4
682,0,43,5,125851.93,1,1,1,193318.33,0,0,4,462,2,True,False,False,1,0.6510054116161069,0.11363636363636363,1,0,0.0,5411632.989999999,629259.6499999999,0
793,1,52,2,0.0,1,1,0,159123.82,1,1,5,883,2,False,False,True,0,0.0,0.03773584905660377,0,0,0.95,0.0,0.0,4
691,0,31,5,40915.55,1,1,0,126213.84,1,0,2,402,1,True,False,False,0,0.3241738451674938,0.15625,0,0,0.0,1268382.05,204577.75,4
485,0,21,5,113157.22,1,1,1,54141.5,0,0,4,764,2,False,False,True,1,2.089988825783811,0.22727272727272727,1,0,0.0,2376301.62,565786.1,1
635,0,29,8,138296.94,2,1,0,141075.51,0,0,1,608,3,False,False,True,0,0.9802974286789486,0.26666666666666666,1,0,0.0,4010611.2600000002,1106375.52,0
650,1,37,5,106967.18,1,0,0,24495.03,0,0,5,652,3,True,False,False,0,4.366714932991183,0.13157894736842105,1,0,0.0,3957785.6599999997,534835.8999999999,3
735,1,44,9,120681.63,1,1,0,74836.34,0,0,2,520,1,True,False,False,0,1.6125857760310562,0.2,1,0,0.0,5309991.720000001,1086134.67,0
416,1,32,0,0.0,2,0,1,878.87,0,0,5,884,2,True,False,False,2,0.0,0.0,0,0,0.0,0.0,0.0,2
754,0,32,7,0.0,2,1,0,89520.75,0,0,1,800,1,False,False,True,0,0.0,0.21212121212121213,0,0,0.0,0.0,0.0,2
535,0,48,9,0.0,1,1,0,149892.79,1,1,4,697,2,True,False,False,0,0.0,0.1836734693877551,0,0,0.96,0.0,0.0,4
716,1,42,8,0.0,2,1,0,180800.42,0,0,2,427,1,False,False,True,0,0.0,0.18604651162790697,0,0,0.0,0.0,0.0,4
539,1,37,2,127609.59,1,1,0,98646.22,0,0,1,620,4,True,False,False,0,1.293595399850092,0.05263157894736842,1,0,0.0,4721554.83,255219.18,0
614,0,43,6,0.0,2,1,1,109041.53,0,0,1,318,3,True,False,False,2,0.0,0.13636363636363635,0,0,0.0,0.0,0.0,4
706,1,57,7,0.0,1,1,0,17941.16,1,1,1,701,2,False,False,True,0,0.0,0.1206896551724138,0,0,0.99,0.0,0.0,2
758,0,33,7,0.0,2,0,0,82996.47,0,0,4,953,3,True,False,False,0,0.0,0.20588235294117646,0,0,0.0,0.0,0.0,2
586,0,28,2,0.0,2,1,1,92067.35,0,0,5,635,3,False,False,True,2,0.0,0.06896551724137931,0,0,0.0,0.0,0.0,4
646,0,73,6,97259.25,1,0,1,104719.66,0,0,1,250,3,True,False,False,1,0.9287493986382438,0.08108108108108109,1,0,0.0,7099925.25,583555.5,0
631,0,33,4,123246.7,1,0,0,112687.57,0,0,3,662,1,False,True,False,0,1.0936929983227224,0.11764705882352941,1,0,0.0,4067141.1,492986.8,1
717,0,22,6,101060.25,1,0,1,84699.56,0,0,2,666,2,False,False,True,1,1.1931473652594504,0.2608695652173913,1,0,0.0,2223325.5,606361.5,0
684,1,30,2,0.0,2,1,0,83473.82,0,0,4,699,4,True,False,False,0,0.0,0.06451612903225806,0,0,0.0,0.0,0.0,4
800,0,49,7,108007.36,1,0,0,47125.11,0,0,3,855,3,True,False,False,0,2.291879384909979,0.14,1,0,0.0,5292360.64,756051.52,2
721,0,36,2,0.0,2,1,1,106977.8,0,0,5,534,1,False,False,True,2,0.0,0.05405405405405406,0,0,0.0,0.0,0.0,4
683,1,29,0,133702.89,1,1,0,55582.54,1,1,1,388,3,False,False,True,0,2.4054403515860994,0.0,1,0,0.99,3877383.8100000005,0.0,0
660,1,31,9,125189.75,2,1,1,139874.43,0,0,5,612,2,False,True,False,2,0.8950088661032177,0.28125,1,0,0.0,3880882.25,1126707.75,1
704,0,24,7,113034.22,1,1,0,162503.48,1,1,2,801,3,False,True,False,0,0.6955760235040904,0.28,1,0,0.98,2712821.2800000003,791239.54,0
615,0,41,9,109013.23,1,1,0,196499.96,0,0,1,561,3,False,False,True,0,0.5547719970426608,0.21428571428571427,1,0,0.0,4469542.43,981119.07,0
667,0,39,2,0.0,2,1,0,40721.24,1,1,5,308,3,False,False,True,0,0.0,0.05,0,0,0.95,0.0,0.0,3
682,1,24,9,57929.81,2,0,0,53134.3,0,0,5,643,1,False,True,False,0,1.0902321055870579,0.36,0,0,0.0,1390315.44,521368.29,3
484,0,29,4,130114.39,1,1,0,164017.89,0,0,1,249,2,True,False,False,0,0.7932890534742675,0.13333333333333333,1,0,0.0,3773317.31,520457.56,0
628,1,27,5,95826.49,2,1,0,155996.96,0,1,2,818,1,False,True,False,0,0.6142804046924717,0.17857142857142858,0,0,0.98,2587315.23,479132.45,0
480,1,44,10,129608.57,1,1,0,5472.7,1,1,1,775,2,False,True,False,0,23.6784204468641,0.2222222222222222,1,0,0.99,5702777.08,1296085.7000000002,2
578,1,30,4,169462.09,1,1,0,112187.11,0,1,5,872,4,True,False,False,0,1.5105173801394818,0.12903225806451613,1,0,0.95,5083862.7,677848.36,1
512,1,40,5,0.0,2,1,1,146457.83,0,0,3,435,4,True,False,False,2,0.0,0.12195121951219512,0,0,0.0,0.0,0.0,4
484,0,35,7,133868.21,1,1,1,27286.1,0,0,2,415,1,False,False,True,1,4.905915615803805,0.19444444444444445,1,0,0.0,4685387.35,937077.47,3
